last,rest,selection_year,group_number,number_of_flights,status,military_civilian,gender,military_details,dob,job,missions_flown,cumulative_hours_space_flight
Schmitt,Harrison H.,1965,4,1,Former,Civilian,Male,,1935-07-03,,Apollo 17,301
Brand,Vance D.,1966,5,4,Former,Civilian,Male,,1931-05-09,,"Apollo-Soyuz Test Project, STS-5, STS 41-B and STS-35",746
Bull,John S.,1966,5,0,Deceased,Civilian,Male,,1934-09-25,,,0
Carr,Gerald P.,1966,5,1,Former,Military,Male,"Colonel, US Marine Corps (Retired)",1932-08-22,,Skylab 4,2017
Duke,"Charles M., Jr.",1966,5,1,Former,Military,Male,"Brigadier General, US Air Force",1935-10-03,,Apollo 16,265
Engle,Joe H.,1966,5,2,Former,Military,Male,"Major General, US Air Force",1932-08-26,,STS-2 and STS 51-I,224
Evans,Ronald E.,1966,5,1,Deceased,Military,Male,"Captain, US Navy",1933-11-10,,Apollo 17,301
Givens,"Edward G., Jr.",1966,5,0,Deceased,Military,Male,"Major, US Air Force",1930-01-05,,,0
Haise,"Fred W., Jr.",1966,5,1,Former,Civilian,Male,,1933-11-14,,Apollo 13,142
Irwin,James B.,1966,5,1,Deceased,Military,Male,"Colonel, US Air Force",1930-03-17,,Apollo 15,295
Lind,Don L.,1966,5,1,Former,Civilian,Male,,1930-05-18,,STS 51-B,168
Lousma,Jack R.,1966,5,2,Former,Military,Male,"Colonel, US Marine Corps",1936-02-29,,Skylab 3 and STS-3,1619
Mattingly,"Thomas K., II",1966,5,3,Former,Military,Male,Rear Admiral US Navy,1936-03-17,,"Apollo 16, STS-4 and STS 51-C",504
McCandless,"Bruce, II",1966,5,2,Former,Military,Male,"Captain, US Navy",1937-06-08,,STS 41-B and STS-31,312
Mitchell,Edgar D.,1966,5,1,Former,Military,Male,"Captain, US Navy",1930-09-17,,Apollo 14,216
Pogue,William R.,1966,5,1,Former,Military,Male,"Colonel, US Air Force",1930-01-23,,Skylab 4,2017
Roosa,Stuart A.,1966,5,1,Deceased,Military,Male,"Colonel, US Air Force",1933-08-16,,Apollo 14,216
Swigert,"John L., Jr.",1966,5,1,Deceased,Civilian,Male,,1931-08-30,,Apollo 13,142
Weitz,Paul J.,1966,5,2,Former,Military,Male,"Captain, US Navy",1932-06-25,Pilot,Skylab 2 and STS-6,793
Allen,Joseph P.,1967,6,2,Former,Civilian,Male,,1937-06-27,,ST-5 and STS 51-A,313
Chapman,Philip K.,1967,6,0,Former,Civilian,Male,,1935-03-05,,,0
England,Anthony W.,1967,6,1,Former,Civilian,Male,,1942-05-15,,STS 51-F,190
Henize,Karl G.,1967,6,1,Deceased,Civilian,Male,,1926-10-17,,STS 51-F,188
Holmquest,Donald L.,1967,6,0,Former,Civilian,Male,,1939-04-07,,,0
Lenoir,William B.,1967,6,1,Former,Civilian,Male,,1939-03-14,,STS-5,122
Llewellyn,John A.,1967,6,0,Former,Civilian,Male,,1933-04-22,,,0
Musgrave,Story,1967,6,6,Former,Civilian,Male,,1935-08-19,,"STS-6, STS 51-F, STS-33, STS-44, STS-61 and STS-80",1281
O'Leary,Brian T.,1967,6,0,Former,Civilian,Male,,1940-01-27,,,0
Parker,Robert A. R.,1967,6,2,Former,Civilian,Male,,1936-12-14,,STS-9 and STS-35,462
Thornton,William E.,1967,6,2,Former,Civilian,Male,,1929-04-14,,STS-8 and STS 51-B,313
Bobko,Karol J.,1969,7,3,Former,Military,Male,"Colonel, US Air Force",1937-12-23,,"STS-6, STS 51-D and STS-51-J",386
Crippen,Robert L.,1969,7,4,Former,Military,Male,"Captain, US Navy",1937-09-11,,"STS-1, STS-7, STS 41-C and STS 41-G",565
Fullerton,Charles G.,1969,7,2,Former,Military,Male,US Air Force (Retired),1936-10-11,,STS-3 and STS 51-F,382
Hartsfield,"Henry W., Jr.",1969,7,3,Former,Military,Male,"Colonel, US Air Force",1933-11-21,,"STS-4, STS 41-D and STS 61-A",482
Overmyer,Robert F.,1969,7,2,Deceased,Military,Male,"Colonel, US Marine Corps",1936-07-14,Pilot,STS-5 and STS 51-B,290
Peterson,Donald H.,1969,7,1,Former,Military,Male,"Colonel, US Air Force",1933-10-22,,STS-6,120
Truly,Richard H.,1969,7,2,Former,Military,Male,"Vice Admiral, US Navy",1937-11-12,,STS-2 and STS-8,199
Bluford,"Guion S., Jr.",1978,8,4,Former,Military,Male,"Colonel, US Air Force",1942-11-22,,"STS-8, STS 61-A, STS-39 and STS-53",688
Brandenstein,Daniel C.,1978,8,4,Former,Military,Male,"Captain, US Navy (Retired)",1943-01-17,,"STS-8, STS 51-G, STS-32 and STS-49",789
Buchli,James F.,1978,8,4,Former,Military,Male,"Colonel, US Marine Corps (Retired)",1945-06-20,,"STS 51-C, STS 61-A, STS-29 and STS-48",490
Coats,Michael L.,1978,8,3,Former,Military,Male,"Captain, US Navy (Retired)",1946-01-16,,"STS 41-D, STS-29 and STS-39",463
Covey,Richard O.,1978,8,4,Former,Military,Male,"Colonel, US Air Force",1946-08-01,,"STS 51-l, STS-26, STS-38 and STS-61",645
Creighton,John O.,1978,8,3,Former,Military,Male,"Captain, US Navy",1943-04-28,,"STS 51-G, STS-36 and STS-48",404
Fabian,John M.,1978,8,2,Former,Military,Male,"Colonel, US Air Force",1939-01-28,,STS-7 and STS 51-G,316
Fisher,Anna L.,1978,8,1,Current,Civilian,Female,,1949-08-24,Mission Specialist,STS 51-A,191
Gardner,Dale A.,1978,8,2,Former,Military,Male,"Captain, US Navy",1948-11-08,,STS-8 and STS 51-A,336
Gibson,Robert L.,1978,8,5,Former,Military,Male,"Captain, US Navy",1946-10-30,,"STS 41-B, STS 61-C, STS-27, STS-47 and STS-71",868
Gregory,Frederick D.,1978,8,3,Former,Military,Male,"Colonel, US Air Force (Retired)",1941-01-07,,"STS 51-B, STS-33 and STS-44",455
Griggs,S. David,1978,8,1,Deceased,Civilian,Male,,1939-09-07,,STS 51-D,167
Hart,Terry J.,1978,8,1,Former,Civilian,Male,,1946-10-27,,STS 41-C,167
Hauck,Frederick H.,1978,8,3,Former,Military,Male,"Captain, US Navy",1941-04-11,,"STS-7, STS 51-A and STS-26",436
Hawley,Steven A.,1978,8,5,Former,Civilian,Male,,1951-12-12,,"STS 41-D, STS 61-C, STS-31, STS-82 and STS-93",770
Hoffman,Jeffrey A.,1978,8,5,Former,Civilian,Male,,1944-11-02,,"STS 51-D, STS-35, STS-46, STS-61 and STS-75",1211
Lucid,Shannon W.,1978,8,5,Management,Civilian,Female,,1943-01-14,,"STS 51-G, STS-34, STS-43, STS-58, STS-76/Mir and Mir/STS-79",5354
McBride,Jon A.,1978,8,1,Former,Military,Male,"Captain, US Navy",1943-08-14,Pilot,STS 41-G,197
McNair,Ronald E.,1978,8,1,Deceased,Civilian,Male,,1950-10-21,,STS 41-B,191
Mullane,Richard M.,1978,8,3,Former,Military,Male,"Colonel, US Air Force",1945-09-10,,"STS 41-D, STS-27 and STS-36",356
Nagel,Steven R.,1978,8,4,Management,Military,Male,"Colonel, US Air Force (Retired)",1946-10-27,,"STS 51-G, STS 61-A, STS-37 and STS-55",723
Nelson,George D.,1978,8,3,Former,Civilian,Male,,1950-07-13,,"STS 41-C, STS 61-C and STS-26",411
Onizuka,Ellison S.,1978,8,1,Deceased,Military,Male,"Lieutenant  Colonel, US Air Force",1946-06-24,,STS 51-C,73
Resnik,Judith A.,1978,8,1,Deceased,Civilian,Female,,1949-04-05,,STS 41-D,144
Ride,Sally K.,1978,8,2,Former,Civilian,Female,,1951-05-26,,STS-7 and STS 41-G,343
Scobee,Francis R.,1978,8,1,Deceased,Military,Male,"Major, US Air Force",1939-05-19,,STS 41-C,168
Seddon,Margaret Rhea,1978,8,3,Former,Civilian,Female,,1947-11-08,,"STS 51-D, STS-40 and STS-58",722
Shaw,"Brewster H., Jr.",1978,8,3,Former,Military,Male,"Colonel, US Air Force",1945-05-16,,"STS-9, STS 61-B and STS-28",533
Shriver,Loren J.,1978,8,3,Former,Military,Male,"Colonel, US Air Force",1944-09-23,,"STS 51-C, STS-31 and STS-46",386
Stewart,Robert L.,1978,8,2,Former,Military,Male,"Brigadier General, US Army",1942-08-13,,STS 41-B and STS 51-J,289
Sullivan,Kathryn D.,1978,8,3,Former,Civilian,Female,,1951-10-03,,"STS 41-G, STS-31 and STS-45",532
Thagard,Norman E.,1978,8,5,Former,Civilian,Male,,1943-07-03,,"STS-7, STS 51-B, STS-30, STS-42 and Mir/STS-71",3360
Van Hoften,James D. A.,1978,8,2,Former,Civilian,Male,,1944-06-11,,STS 41-C and STS 51-I,338
Walker,David M.,1978,8,4,Deceased,Military,Male,"Captain, US Navy",1944-05-20,,"STS 51-A, STS-30, STS-53 and STS-69",724
Bagian,James P.,1980,9,2,Former,Civilian,Male,,1952-02-22,,STS-29 and STS-40,337
Blaha,John E.,1980,9,5,Former,Military,Male,"Colonel, US Air Force",1942-08-26,,"STS-29, STS-33, STS-43, STS-58, STS-79/Mir and Mir/STS-81",3864
Bolden,"Charles F., Jr.",1980,9,4,Former,Military,Male,"Brigadier General, US Marine Corps",1946-08-19,,"STS-61C, STS-31, STS-45 and STS-60",680
Bridges,"Roy D., Jr.",1980,9,1,Former,Military,Male,"Major General, US Air Force (Retired)",1943-07-19,,STS 51-F,190
Chang-Diaz,Franklin R.,1980,9,7,Former,Civilian,Male,,1950-04-05,,"STS 61-C, STS-34, STS-46, STS-60, STS-75, STS-91 and STS-111",1601
Cleave,Mary L.,1980,9,2,Former,Civilian,Female,,1947-02-05,,STS 61-B and STS-30,240
Dunbar,Bonnie J.,1980,9,5,Former,Civilian,Female,,1949-03-03,,"STS 61-A, STS-32, STS-50, STS-71 and STS-89",1208
Fisher,William F.,1980,9,1,Former,Civilian,Male,,1946-04-01,,STS 51-I,170
Gardner,Guy S.,1980,9,2,Former,Military,Male,"Colonel, US Air Force",1948-01-06,,STS-27 and STS-35,320
Grabe,Ronald J.,1980,9,4,Former,Military,Male,"Colonel, US Air Force",1945-06-13,,"STS 51-J, STS-30, STS-42 and STS-57",627
Hilmers,David C.,1980,9,4,Former,Military,Male,"Colonel, US Marine Corps",1950-01-28,,"ST 51-J, STS-26, STS-36 and STS-42",494
Leestma,David C.,1980,9,3,Management,Military,Male,"Captain, US Navy (Retired) ",1949-05-06,,"STS 41-G, STS-28 and STS-45",532
Lounge,John M.,1980,9,3,Former,Civilian,Male,,1946-06-28,,"STS 51-I, STS-26 and STS-35",482
O'Connor,Bryan D.,1980,9,2,Management,Military,Male,"Colonel, US Marine Corps (Retired)",1946-09-06,,STS 61-B and STS-40,386
Richards,Richard N.,1980,9,4,Former,Military,Male,"Captain, US Navy",1946-08-24,,"STS-28, STS-41, STS-50 and STS-64",813
Ross,Jerry L.,1980,9,7,Management,Military,Male,"Colonel, US Air Force (Retired)",1948-01-20,,"ST 61-B, ST-27, ST-37, STS-55, STS-74, STS-88 and STS-110",1393
Smith,Michael J.,1980,9,0,Deceased,Military,Male,"Captain, US Navy",1945-04-30,,,0
Spring,Sherwood C.,1980,9,1,Former,Military,Male,"Colonel, US Army",1944-09-23,,STS 61-B,165
Springer,Robert C.,1980,9,2,Former,Military,Male,"Colonel, US Marine Corps",1942-05-21,,STS-29 and STS-38,237
Adamson,James C.,1984,10,2,Former,Military,Male,"Colonel, US Army (retired)",1946-03-03,,STS-28 and STS-43,334
Baker,Ellen S.,1984,10,3,Management,Civilian,Female,,1953-04-27,,"STS-34, STS-50 and STS-71",686
Brown,Mark N.,1984,10,2,Former,Military,Male,"Colonel, US Air Force (Retired)",1951-11-18,,STS 28 and STS-48,249
Cameron,Kenneth D.,1984,10,3,Former,Military,Male,"Colonel, US Marine Corps (Retired)",1949-11-29,,"STS-37, STS-56 and STS-74",561
Carter,"Manley Lanier, Jr.",1984,10,1,Deceased,Military,Male,"Captain, US Navy",1947-08-15,,STS-33,120
Casper,John H.,1984,10,4,Management,Military,Male,"Colonel, US Air Force (Retired)",1943-07-09,,"STS-36, STS-54, STS-62 and STS-77",825
Culbertson,"Frank L., Jr.",1984,10,3,Former,Military,Male,"Captain, US Navy",1949-05-15,,"STS-38, STS-51 and STS-105/Exp 3/STS-108",146
Gutierrez,Sidney M.,1984,10,2,Former,Military,Male,"Colonel, US Air Force",1951-06-27,,STS-40 and STS-59,488
Hammond,"L. Blaine, Jr.",1984,10,2,Former,Military,Male,"Colonel, US Air Force",1952-01-16,,STS-39 and STS-64,462
Ivins,Marsha S.,1984,10,5,Former,Civilian,Female,,1951-04-15,Mission Specialist,"STS-32, STS-46, STS-62, STS-81 and STS-98",1318
Lee,Mark C.,1984,10,4,Former,Military,Male,"Colonel, US Air Force",1952-08-14,,"STS-30, STS-47, STS-64 and STS-82",789
Low,G. David,1984,10,3,Former,Civilian,Male,,1956-02-19,,"STS-32, STS-43 and STS-57",714
McCulley,Michael J.,1984,10,1,Former,Military,Male,"Captain, US Navy",1943-08-04,Pilot,STS-34,119
Shepherd,William M.,1984,10,4,Former,Military,Male,"Captain, US Navy",1949-07-26,,"STS-37, STS-41, STS-52 and Exp 1/STS-102",3816
Thornton,Kathryn C.,1984,10,4,Former,Civilian,Female,,1952-08-17,,"STS-33, STS-49, STS-61 and STS-73",975
Veach,Charles Lacy,1984,10,2,Deceased,Civilian,Male,,1944-09-18,Mission Specialist,STS-39 and STS-52,436
Wetherbee,James D.,1984,10,6,Former,Military,Male,"Captain, US Navy (Retired)",1952-11-27,,"STS-32, STS-52, STS-63, STS-86, STS-102 and STS-113",1592
Apt,Jerome,1985,11,4,Former,Civilian,Male,,1949-04-28,,"STS-37, STS-47, STS-59 and STS-79",847
Baker,Michael A.,1985,11,4,Management,Military,Male,"Captain, US Navy (Retired)",1953-10-27,,"STS-43, STS-52, STS-68 and STS-81",965
Cabana,Robert D.,1985,11,4,Management,Military,Male,"Colonel, US Marine Corps (Retired)",1949-01-23,,"STS-41, STS-53, STS-65 and STS-88",1010
Duffy,Brian,1985,11,4,Former,Military,Male,"Colonel, US Air Force",1953-06-20,,"STS-45, STS-57, STS-72 and STS-92",976
Gemar,Charles D.,1985,11,3,Former,Military,Male,"Lieutenant Colonel, US Army",1955-08-04,,"STS-38, STS-48 and STS-62",581
Godwin,Linda M.,1985,11,4,Former,Civilian,Female,,1952-07-02,,"STS-37, STS-59, STS-76 and STS-108",912
Henricks,Terence T.,1985,11,4,Former,Military,Male,"Colonel, US Air Force",1952-07-05,,"STS-44, STS-55, STS-70 and STS-78",1026
Hieb,Richard J.,1985,11,3,Former,Civilian,Male,,1955-09-21,,"STS-39, STS-49 and STS-65",766
Jernigan,Tamara E.,1985,11,5,Former,Civilian,Female,,1959-05-07,,"STS-40, STS-52, STS-67, STS-80 and STS-98",1512
Meade,Carl J.,1985,11,3,Former,Military,Male,"Colonel, US Air Force",1950-11-16,,"STS-38, STS-50 and STS-64",712
Oswald,Stephen S.,1985,11,3,Former,Civilian,Male,,1951-06-30,,"STS-42, STS-56 and STS-67",814
Thorne,Stephen D.,1985,11,0,Deceased,Military,Male,"Lieutenant Commander, US Navy",1953-02-11,,,0
Thuot,Pierre J.,1985,11,3,Former,Military,Male,"Commander, US Navy",1955-05-19,,"STS-36, STS-49 and STS-62",654
Akers,Thomas D.,1987,12,4,Former,Military,Male,"Lieutenant Colonel, US Air Force (Retired)",1951-05-20,,"STS-41, STS-49, STS-61 and STS-79",814
Allen,Andrew M.,1987,12,3,Former,Military,Male,"Lieutenant Colonel, USMC (Retired)",1955-08-04,,"STS-46, STS-62 and STS-75",904
Bowersox,Kenneth D.,1987,12,5,Former,Military,Male,"Captain, US Navy ",1956-11-14,,"STS-50, STS-61, STS-73, STS-82 and STS-113/Exp. 6",5304
Brown,"Curtis L., Jr.",1987,12,6,Former,Military,Male,"Colonel, US Air Force (Retired)",1956-03-11,,"STS-47, STS-66, STS-77, STS-85, STS-95 and STS-103",1381
Chilton,Kevin P.,1987,12,3,Former,Military,Male,"Brigadier General, US Air Force",1954-03-11,,"STS-49, STS-59 and STS-76",704
Davis,N. Jan,1987,12,3,Former,Civilian,Female,,1953-11-01,,"STS-47, STS-60 and STS-85",673
Foale,C. Michael,1987,12,6,Current,Civilian,Male,,1957-01-06,Mission Specialist,"STS-45, STS-56, STS-63, STS-84/Mir, Mir/STS-86, STS-103 and Expedition 8",8976
Harbaugh,Gregory J.,1987,12,4,Former,Civilian,Male,,1956-04-15,,"STS-39, STS-54, STS-71 and STS-82",817
Jemison,Mae C.,1987,12,1,Former,Civilian,Female,,1956-10-17,,STS-47,190
McMonagle,Donald R.,1987,12,3,Former,Military,Male,"Colonel, US Air Force",1952-05-14,,"STS-39, STS-54 and STS-66",605
Melnick,Bruce E.,1987,12,2,Former,Military,Male,"Commander, US Coast Guard",1949-12-05,,STS-41 and STS-49,311
Readdy,William F.,1987,12,3,Former,Civilian,Male,,1952-01-24,,"STS-42, STS-51 and STS-79",672
Reightler,"Kenneth S., Jr.",1987,12,2,Former,Military,Male,"Captain, US Navy",1951-03-24,,STS-48 and STS-60,327
Runco,"Mario, Jr.",1987,12,3,Management,Military,Male,"Lieutenant Commander, US Navy (Retired)",1952-01-26,,"STS-44, STS-54 and STS-77",551
Voss,James S.,1987,12,5,Former,Military,Male,"Colonel, US Army",1949-03-03,,"STS-44, STS-53, STS-69, STS-101 and Exp 2",4848
Bursch,Daniel W.,1990,13,4,Former,Military,Male,"Captain, US Navy",1957-07-25,,"STS-51, STS-68, STS-77, STS-108/Exp 4/STS-111",5448
Chiao,Leroy,1990,13,4,Former,Civilian,Male,,1960-08-28,Mission Specialist,"STS-65, STS-72, Exp 10 and STS-92",5503
Clifford,Michael R.,1990,13,3,Former,Military,Male,"Lieutenant Colonel, US Army (Retired)",1952-10-13,,"STS-53, STS-59 and STS-76",665
Cockrell,Kenneth D.,1990,13,5,Management,Civilian,Male,US Naval Reserve,1950-04-09,,"STS-56, STS-69, STS-80, STS-98 and STS-111",1560
Collins,Eileen M.,1990,13,4,Former,Military,Female,"Colonel, US Air Force",1959-11-19,Pilot,"STS-63, STS-84, STS-114 and STS-93",872
Currie,Nancy J.,1990,13,4,Management,Military,Female,"Lieutenant Colonel, US Army",1958-12-29,,"STS-57, STS-70, STS-88 and STS-109",999
Gregory,William G.,1990,13,1,Former,Military,Male,"Lieutenant Colonel, US Air Force",1957-05-14,,STS-67,399
Halsell,"James D., Jr.",1990,13,5,Former,Military,Male,"Colonel, US Air Force",1956-09-29,Pilot,"STS-65, STS-74, STS-83, STS-94 and STS-101",1250
Harris,"Bernard A., Jr.",1990,13,2,Former,Civilian,Male,,1956-06-26,,STS-55 and STS-63,438
Helms,Susan J.,1990,13,5,Former,Military,Female,"Colonel, US Air Force",1958-02-26,,"STS-54, STS-64, STS-78, STS-101 and STS-102/Exp 2/STS-105",5064
Jones,Thomas D.,1990,13,4,Former,Civilian,Male,,1955-01-22,,"STS-59, STS-68, STS-80 and STS-98",1272
McArthur,"William S., Jr.",1990,13,4,Current,Military,Male,"Colonel, US Army (Retired)",1951-07-26,Mission Specialist,"STS-58, STS-74, Exp 12 and STS-92",5398
Newman,James H.,1990,13,4,Former,Civilian,Male,,1956-10-16,,"STS-51, STS-69, STS-88 and STS- 109",1032
Ochoa,Ellen,1990,13,4,Management,Civilian,Female,,1958-05-10,,"STS-56, STS-66, STS-96 and STS-110",978
Precourt,"Charles J., Jr.",1990,13,4,Former,Military,Male,"Colonel, US Air Force (Retired)",1955-06-29,,"STS-55, STS-71, STS-84 and STS-91",932
Searfoss,Richard A.,1990,13,3,Former,Military,Male,"Colonel, US Air Force",1956-06-05,,"STS-58, STS-76 and STS-90",938
Sega,Ronald M.,1990,13,2,Former,Civilian,Male,"Colonel, US Air Force Reserve",1952-12-04,,STS-60 and STS-76,420
Thomas,Donald A.,1990,13,4,Management,Civilian,Male,,1955-05-06,,"STS-65, STS-70, STS-83 and STS-94",1040
Voss,Janice E.,1990,13,5,Management,Civilian,Female,,1956-10-08,,"STS-57, STS-63, STS-83, STS-94 and STS-99",1176
Walz,Carl E.,1990,13,4,Former,Military,Male,"Colonel, US Air Force",1955-09-06,,"STS-51, STS-65, STS-79 and STS-108/Exp 4/STS-111",5544
Barry,Daniel T.,1992,14,3,Former,Civilian,Male,,1953-12-30,Mission Specialist,"STS-72, STS-96 and STS-105",734
Brady,"Charles E., Jr.",1992,14,1,Deceased,Military,Male,"Captain, US Navy",1951-08-12,,STS-78,405
Coleman,Catherine G.,1992,14,2,Current,Military,Female,"Lieutenant Colonel, US Air Force",1960-12-14,Mission Specialist,STS-73 and STS-93,500
